,row,column,cor,p
24,bio_2,bio_7,0.919197559,0
26,bio_4,bio_7,0.9736799,0
27,bio_5,bio_7,0.907842934,0
35,bio_6,bio_8,0.946883917,0
42,bio_5,bio_9,0.935011744,0
51,bio_5,bio_10,0.922597826,0
55,bio_9,bio_10,0.992062151,0
62,bio_6,bio_11,0.960466802,0
64,bio_8,bio_11,0.991307557,0
91,bio_12,bio_13,0.969628572,0
133,bio_12,bio_16,0.990401804,0
134,bio_13,bio_16,0.990718126,0
151,bio_14,bio_17,0.924612343,0
171,bio_17,bio_18,0.92389369,0
184,bio_12,bio_19,0.985788405,0
185,bio_13,bio_19,0.994457901,0
188,bio_16,bio_19,0.997790992,0
916,bio_12,ai_yr,0.925437629,0
920,bio_16,ai_yr,0.908382237,0
952,bio_5,pet_yr,0.942480624,0
956,bio_9,pet_yr,0.914975822,0
957,bio_10,pet_yr,0.922271252,0
1305,HFP2009_in,lights_2,0.930026412,0
1323,built_2,lights_2,0.906496525,0
1356,HFP2009_in,hfp_2,0.979998827,0
1378,lights_2,hfp_2,0.940002799,0