,Step,Df,Deviance,Resid. Df,Resid. Dev,AIC,_ AIC
1,,NA,NA,1858,54.6876555,-6641.87,
2,take bio_7,0,0,1858,54.6876555,-6641.87,
3,take cat.closest.wb,7,0.169206977,1865,54.85686248,-6650.02,
4,take Species,8,0.238162579,1873,55.09502506,-6657.81,
5,take Lifestage,2,0.016362952,1875,55.11138801,-6661.25,
6,take pasture_2,1,7.21E-05,1876,55.11146008,-6663.25,
7,take popdens_2,1,0.006059031,1877,55.11751911,-6665.04,
8,take built_2,1,0.006500643,1878,55.12401975,-6666.81,
9,take roads_2,1,0.008101519,1879,55.13212127,-6668.54,
10,take dist.closest.wb,1,0.008283951,1880,55.14040522,-6670.25,
11,take amph_rich,1,0.01128654,1881,55.15169176,-6671.86,
12,take navwater_2,1,0.008099682,1882,55.15979145,-6673.59,
13,take bio_3,1,0.012996924,1883,55.17278837,-6675.14,
14,take bio_15,1,0.00754744,1884,55.18033581,-6676.88,
15,take bio_5,1,0.019495145,1885,55.19983096,-6678.21,NA
16,take rail_2,1,0.021556703,1886,55.22138766,-6679.47,-1.26
17,take bio_6,1,0.027018061,1887,55.24840572,-6680.55,-1.07
18,take bio_1,1,0.048768802,1888,55.29717452,-6680.87,-0.33
19,add bio_5,-1,0.059400422,1887,55.2377741,-6680.91,-0.04